Travel Queries Forecast Template - Enhanced with ARIMA Model,,,,,,,,,,
,,,,,,,,,,
INSTRUCTIONS:,,,,,,,,,,
1. This template is designed to forecast travel queries for a market using the multi-factor approach and ARIMA model,,,,,,,,,,
2. Fill in the data in each of the input sheets (Historical Queries, Flight Searches, Media Impressions, Brand Health),,,,,,,,,
3. Adjust the parameters in the Parameters sheet if needed,,,,,,,,,,
4. The forecast will automatically calculate based on the input data and parameters,,,,,,,,,,
,,,,,,,,,,
====================,,,,,,,,,,
HISTORICAL QUERIES,,,,,,,,,,
====================,,,,,,,,,,
Month,Year,Indexed Queries,,,,,,,,
November,22.64,20.05,21.45,22.85,23.20,-11.4%,-5.3%,0.9%,2.5%,
December,23.34,22.47,24.85,27.27,23.20,-3.7%,6.5%,16.8%,-0.6%,
Average,21.91,22.40,25.33,28.62,23.20,2.3%,15.6%,30.6%,9.9%,
,,,,,,,,,,
====================,,,,,,,,,,
CONFIDENCE INTERVALS,,,,,,,,,,
====================,,,,,,,,,,
Month,ARIMA Forecast,Lower 95% CI,Upper 95% CI,Range Width,,,,,,,
January,23.17,16.55,29.79,13.23,,,,,,,
February,23.20,14.97,31.43,16.46,,,,,,,
March,23.20,13.44,32.96,19.52,,,,,,,
April,23.20,12.15,34.25,22.10,,,,,,,
May,23.20,10.99,35.40,24.41,,,,,,,
June,23.20,9.94,36.46,26.52,,,,,,,
July,23.20,8.96,37.44,28.48,,,,,,,
August,23.20,8.04,38.35,30.31,,,,,,,
September,23.20,7.18,39.22,32.04,,,,,,,
October,23.20,6.36,40.04,33.67,,,,,,,
November,23.20,5.58,40.82,35.24,,,,,,,
December,23.20,4.83,41.56,36.73,,,,,,,
