,ARIMA_Forecast,Lower_CI,Upper_CI
2025-01-01,23.169216835295607,16.551827329836033,29.78660634075518
2025-02-01,23.2035186088675,14.972656034178708,31.434381183556294
2025-03-01,23.19650892565605,13.435635932681588,32.95738191863052
2025-04-01,23.19794137808076,12.150207138193874,34.24567561796765
2025-05-01,23.197648651592676,10.991805993259751,35.4034913099256
2025-06-01,23.197708471238585,9.935672990156643,36.45974395232052
2025-07-01,23.19769624689203,8.957368158815441,37.43802433496862
2025-08-01,23.19769874497851,8.042138661209417,38.3532588287476
2025-09-01,23.197698234486104,7.17910513694471,39.216291332027495
2025-10-01,23.19769833880695,6.360252159429535,40.03514451818437
2025-11-01,23.197698317488634,5.5794159389625335,40.815980696014734
2025-12-01,23.197698321845102,4.831747439145431,41.563649204544774
